,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10552,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19542068.0,19542068.0,False,,1,,,,2023-11-14T12:24:00.000Z,36316.2589620456,19006909254.49149,34.1767,-0.09118451,-0.992128,4.70187845,35.3094783,37.283967,24.85321098,709694802141.9045,51.2099,762641438202.96,,2023-11-14T12:24:00.000Z,,,,,,2023-11-14 17:56:06.517228
1,1027,Ethereum,ETH,ethereum,7778,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120257710.74969622,120257710.74969622,True,,2,,,,2023-11-14T12:24:00.000Z,2034.4593985366346,13114023488.92715,34.2158,-0.20726661,-0.31678913,8.37915282,30.8258581,25.34709487,11.73621985,244659429881.21954,17.6563,244659429881.22,,2023-11-14T12:24:00.000Z,,,,,,2023-11-14 17:56:06.517228
2,825,Tether USDt,USDT,tether,65676,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,87077275102.70656,90623656719.71295,True,,3,,,,2023-11-14T12:23:00.000Z,1.00032006701219,45276722468.52165,22.4336,0.00564325,-0.02424146,0.00082418,0.02474782,0.00867077,0.14710641,87105145665.97832,6.2878,90652662362.75,,2023-11-14T12:23:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-11-14 17:56:06.517228
3,1839,BNB,BNB,bnb,1759,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151701414.39766023,151701414.39766023,False,,4,,,,2023-11-14T12:23:00.000Z,244.66465706006932,900076919.1902248,18.2543,-0.33892957,0.20802013,-1.26535733,18.2088545,15.15080038,4.60671381,37115974529.131004,2.6754,37115974529.13,,2023-11-14T12:23:00.000Z,,,,,,2023-11-14 17:56:06.517228
4,52,XRP,XRP,xrp,1141,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53652766196.0,99988240531.0,False,,5,,,,2023-11-14T12:24:00.000Z,0.6522216547522423,3411564740.391876,232.9957,-0.10697224,0.57884215,-4.78847924,34.0087622,31.98430628,9.67524451,34993495950.39029,2.5254,65222165475.22,,2023-11-14T12:24:00.000Z,,,,,,2023-11-14 17:56:06.517228
5,3408,USDC,USDC,usd-coin,14922,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24018412140.27638,24018412140.27638,False,,6,,,,2023-11-14T12:24:00.000Z,1.0002410627412293,5568219898.082381,32.6107,0.02200935,0.03715654,0.02228884,0.01657235,0.01350387,0.01911096,24024202084.546886,1.7311,24024202084.55,,2023-11-14T12:24:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-11-14 17:56:06.517228
6,5426,Solana,SOL,solana,546,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,422396844.01063114,562465341.7152184,True,,7,,,,2023-11-14T12:24:00.000Z,52.75185305595907,2970636203.977742,26.4868,-0.83682773,-6.57736461,28.1697565,141.62810593,177.11491063,126.09847909,22282216246.54968,1.6056,29671089055.23,,2023-11-14T12:24:00.000Z,,,,,,2023-11-14 17:56:06.517228
7,2010,Cardano,ADA,cardano,972,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35270789767.425,36350273102.308,False,,8,,,,2023-11-14T12:23:00.000Z,0.3573479283283668,417524703.80798066,12.8246,-0.39816232,-2.33505239,3.36381234,44.89581106,43.19213369,29.82355391,12603943653.894684,0.9098,16080656774.78,,2023-11-14T12:23:00.000Z,,,,,,2023-11-14 17:56:06.517228
8,74,Dogecoin,DOGE,dogecoin,825,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141825816383.70526,141825816383.70526,True,,9,,,,2023-11-14T12:24:00.000Z,0.07350856330093684,730901822.8717785,10.4264,-0.48898677,-4.55805176,-0.04147909,24.16421291,18.86207176,5.75358282,10425412001.348644,0.7519,10425412001.35,,2023-11-14T12:24:00.000Z,,,,,,2023-11-14 17:56:06.517228
9,1958,TRON,TRX,tron,869,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88673717334.78125,88673741439.88318,True,,10,71659659264.0,7548106187.677236,,2023-11-14T12:23:00.000Z,0.10533271111252986,273749560.5112596,3.7764,-0.36141081,-3.82095055,9.15954927,23.27114804,25.68902933,38.70257241,9340243051.298645,0.6733,9340245590.35,,2023-11-14T12:23:00.000Z,,,,,,2023-11-14 17:56:06.517228
